Wall time,Time,Progress,Step,Norm loss,Value,Loss alpha,Loss alpha abs
1588299040,620,0.3558085414,22628,0.1139811143,0.3400957,-0.11399585,0.11399585
1588299043,623,0.357601107,22742,0.09515412868,0.28391993,0.05617577,0.05617577
1588299046,626,0.3595037424,22863,0.09257478824,0.27622372,0.00769621,0.00769621
1588299050,630,0.3613906535,22983,0.1166211628,0.34797305,-0.07174933,0.07174933
1588299053,633,0.3632775646,23103,0.09439233912,0.28164691,0.06632614,0.06632614
1588299067,647,0.3712969369,23613,0.1278140922,0.3813704,-0.09972349,0.09972349
1588299070,650,0.3731366753,23730,0.08396993981,0.25054866,0.13082174,0.13082174
1588299073,653,0.3749606894,23846,0.1331917597,0.39741623,-0.14686757,0.14686757
1588299076,656,0.3767375307,23959,0.1003624411,0.29946044,0.09795579,0.09795579
1588299079,659,0.378640166,24080,0.113007517,0.33719069,-0.03773025,0.03773025
1588299082,662,0.3805113529,24199,0.1053621027,0.31437838,0.02281231,0.02281231
1588299091,671,0.3854802189,24515,0.09372337782,0.27965087,0.03472751,0.03472751
1588299094,674,0.3873514057,24634,0.1525673597,0.45522895,-0.17557808,0.17557808
1588299097,677,0.3892068684,24752,0.1193446923,0.35609949,0.09912946,0.09912946
1588299100,680,0.3910151582,24867,0.1071734802,0.31978315,0.03631634,0.03631634
1588299103,683,0.3929020693,24987,0.1083919172,0.32341871,-0.00363556,0.00363556
1588299106,686,0.3946946349,25101,0.07131551674,0.21279052,0.11062819,0.11062819
1588299109,689,0.3965658217,25220,0.09193423376,0.27431244,-0.06152192,0.06152192
1588299119,699,0.401550412,25537,0.1165908993,0.34788275,-0.07357031,0.07357031
1588299121,701,0.4033429775,25651,0.1409949867,0.42069942,-0.07281667,0.07281667
1588299125,705,0.4052298887,25771,0.08788412624,0.26222777,0.15847165,0.15847165
1588299128,708,0.4071167998,25891,0.09939919966,0.29658633,-0.03435856,0.03435856
1588299131,711,0.4090037109,26011,0.1035836766,0.30907193,-0.0124856,0.0124856
1588299134,714,0.4108906221,26131,0.1214806504,0.36247274,-0.05340081,0.05340081
1588299146,726,0.4177149506,26565,0.1151293118,0.34352168,0.01895106,0.01895106
1588299149,729,0.4195232405,26680,0.09163303293,0.27341372,0.07010796,0.07010796
1588299152,732,0.4214258758,26801,0.1502353356,0.44827068,-0.17485696,0.17485696
1588299155,735,0.4232970627,26920,0.07932359729,0.23668495,0.21158573,0.21158573
1588299158,738,0.4252154224,27042,0.06900774033,0.2059046,0.03078035,0.03078035
1588299161,741,0.4270079879,27156,0.05993443399,0.17883176,0.02707284,0.02707284
1588299173,753,0.4337065224,27582,0.05962435854,0.17790656,0.0009252,0.0009252
1588299176,756,0.4355148123,27697,0.09288879158,0.27716064,-0.09925408,0.09925408
1588299179,759,0.4374174476,27818,0.073456331,0.21917826,0.05798238,0.05798238
1588299182,762,0.4392100132,27932,0.08079740748,0.24108249,-0.02190423,0.02190423
1588299185,765,0.4411283729,28054,0.06453342734,0.19255419,0.0485283,0.0485283
1588299189,769,0.4429681112,28171,0.08137725393,0.24281263,-0.05025844,0.05025844
1588299200,780,0.4495565759,28590,0.06179545643,0.18438466,0.05842797,0.05842797
1588299203,783,0.4513491415,28704,0.08702430364,0.25966224,-0.07527758,0.07527758
1588299206,786,0.4532046041,28822,0.07345710518,0.21918057,0.04048167,0.04048167
1588299209,789,0.4550757909,28941,0.05941780915,0.17729026,0.04189031,0.04189031
1588299212,792,0.4568683565,29055,0.1146939829,0.34222275,-0.16493249,0.16493249
1588299215,795,0.4586451978,29168,0.09077038172,0.27083975,0.071383,0.071383
1588299227,807,0.4655009749,29604,0.08801347181,0.26261371,0.00822604,0.00822604
1588299230,810,0.4673407133,29721,0.06820550892,0.20351091,0.0591028,0.0591028
1588299233,813,0.4691332788,29835,0.05380796715,0.16055167,0.04295924,0.04295924
